Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 1484,Bearbeitet,Wilde Müllkippe 🧹,1484,"02.06.2025, 19:29","Wenn man von Famila kommt und dann ist da die  Kreyenstr.
Da liegt rechts Müll im Gebüsch!
Bitte entfernen.",Lade Adresse ...,"53.1667446, 8.2208632","03.06.2025, 12:08: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 03.06.2025, 08:54: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1483,Bearbeitet,Wilde Müllkippe 🧹,1483,"02.06.2025, 18:34",Ecke Nadorster Strasse / Lindenhofsgarten ist diverser Abfall illegal abgelegt worden.,Lade Adresse ...,"53.1528433, 8.217462","03.06.2025, 08:53: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1482,Bearbeitet,Wilde Müllkippe 🧹,1482,"02.06.2025, 18:31",In dem Gang Bogenstrasse / Goethestrasse Höhe Hausnummer 36 ist erneut illegal Abfall entsorgt worden.,Lade Adresse ...,"53.1550626, 8.2226896","03.06.2025, 12:09: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 03.06.2025, 08:47: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1473,Kein Status,Wilde Müllkippe 🧹,1473,"02.06.2025, 12:33",Am Containerstellplatz Ecke Nedderend wurde diverser Hausmüll entsorgt.,Lade Adresse ...,"53.1574186, 8.1974959","02.06.2025, 12:43: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt."
ID 1456,Kein Status,Wilde Müllkippe 🧹,1456,"01.06.2025, 19:55",Gefrier-Kühlschrank abgelegt,"Grünenkamp 20, 26125 Oldenburg","53.1632133, 8.26170745179842","02.06.2025, 13:23: Der in der Meldung angezeigte Mangel wurde beseitigt.; 02.06.2025, 07:01: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1455,Bearbeitet,Straßenbeleuchtung 💡,1455,"01.06.2025, 18:17",Straßenbeleuchtung so enorm zugewachsen das kein Licht mehr zu sehen ist,"Kolpingstraße 15, 26133 Lower Saxony","53.0852573, 8.2260589","02.06.2025, 06:46: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1450,Kein Status,Wilde Müllkippe 🧹,1450,"31.05.2025, 14:39","Hier wurde u.a. ein alter Küchlschrank ""entsorgt"". Widerlich! Richtung Norden, auf der linken Seite.","Grünenkamp, 26125 Oldenburg","53.1630253320104, 8.26043655677344","02.06.2025, 13:24: Der in der Meldung angezeigte Mangel wurde beseitigt.; 02.06.2025, 07:01: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1449,Kein Status,Wilde Müllkippe 🧹,1449,"31.05.2025, 14:03",Am Straßenrand liegt Müll rum,Lade Adresse ...,"53.1745772, 8.1956019","02.06.2025, 13:26: Danke für Deine Meldung! Leider konnten wir bei dem gemeldeten Mangel nicht tätig werden. Nicht mehr auffindbar.; 02.06.2025, 07:00: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1448,Kein Status,Wilde Müllkippe 🧹,1448,"31.05.2025, 14:01",Bei den Müllcontainern liegt Müll,Lade Adresse ...,"53.1774291, 8.22324","02.06.2025, 09:48: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 02.06.2025, 07:00: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1447,Kein Status,Wilde Müllkippe 🧹,1447,"31.05.2025, 14:00",An den Container liegt sehr viel Müll,Lade Adresse ...,"53.1816019, 8.1851191","02.06.2025, 09:47: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 02.06.2025, 09:47: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 02.06.2025, 07:00: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1446,Kein Status,Wilde Müllkippe 🧹,1446,"31.05.2025, 09:53",Im Wassergraben zwischen Staulinie und Staugraben liegt eine Restmülltonne.,Lade Adresse ...,"53.14200845, 8.21474520501018","03.06.2025, 08:20: Restmülltonne im Wassergraben nicht auffindbar.; 02.06.2025, 06:59: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1440,Kein Status,Wilde Müllkippe 🧹,1440,"30.05.2025, 14:59",Wild angelegter Sperrmüll,"Heimeck, 26135 Oldenburg","53.0968167, 8.245117","02.06.2025, 09:45: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 02.06.2025, 06:58: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1431,Bearbeitet,Verkehrszeichen ⚠️,1431,"29.05.2025, 19:20","Unter der Autobahnbrücke Stadtauswärts ist am Radweg wo die Auffahrt Richtung Hafen rauf geht das Schild Schief!

Und hinter der Kurve, wo es denn in die Rennplatzstr. Geht ist Stadtauswärts der Leitphal krumm!

Und allgemein dind die Pfähle und Schilder in dem Bereich und davor und dahinter sehr schmutzig und teilweise  eingewachsen!","Elsflether Straße 128, 26125 Oldenburg","53.1695678, 8.2620226","30.05.2025, 11:55: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 30.05.2025, 11:55: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1429,Bearbeitet,Wilde Müllkippe 🧹,1429,"29.05.2025, 17:10","Hinter der Bushaltestelle  auf Höhe Trommelweg liegt ein zerfetzer gelber Sack!

Müll erst raus wenn Abholtag ist.

Der scheint schon länger da zu sein...

Bitte entsorgen  stört die Optik und verengt den Fußweg.",Lade Adresse ...,"53.1615181, 8.2401599","30.05.2025, 10:31: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 30.05.2025, 08:05: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1428,Kein Status,Wilde Müllkippe 🧹,1428,"29.05.2025, 17:06",Unter der Autobahnbrücke liegt Müll!,Lade Adresse ...,"53.1465126, 8.1932371","02.06.2025, 07:02: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1425,Kein Status,Wilde Müllkippe 🧹,1425,"29.05.2025, 09:31","Guten Tag, auf dem Fußweg Mühlenhofsweg Höhe des Spielplatzes steht ein Rasenmäher aus dem auch schon Öl ausläuft.
VG",Lade Adresse ...,"53.1630595, 8.24668160235295","30.05.2025, 10:26: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1420,Bearbeitet,Straßen  🚧,1420,"28.05.2025, 13:05","Gulliumrandung Absatz ca. 7 cm = Achsbruchgefahr! Wurde erst vor wenigen Monaten neu gemacht...
Viele Grüße",Lade Adresse ...,"53.13748655, 8.22110075632911","28.05.2025, 14:30: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 28.05.2025, 14:29: Vielen Dank für den Hinweis. Dieser wurde bereits an die zuständige Stelle (OOWV) weitergeleitet.; 28.05.2025, 14:29: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1415,Kein Status,Wilde Müllkippe 🧹,1415,"27.05.2025, 20:19",Müllansammlung an den Wertstoffcontainern,Lade Adresse ...,"53.1345991438802, 8.18480394326261","28.05.2025, 14:51: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1406,Bearbeitet,Straßen  🚧,1406,"27.05.2025, 11:18","Seit Aufbruch der Straße durch den Netzbetreiber, läuft der Gully nicht mehr ab und die Straße steht bei starken Regenfällen unter Wasser.",Lade Adresse ...,"53.129767, 8.20216759842474","27.05.2025, 12:30: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 12:24: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1403,Kein Status,Wilde Müllkippe 🧹,1403,"27.05.2025, 08:55",An dieser Stelle befindet sich eine wilde Müllkippe bestehend aus mehreren Abfallsäcken.,"Friesenstraße 1, 26121 Oldenburg","53.15839035, 8.22073652415577","27.05.2025, 13:49: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 27.05.2025, 09:35: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1402,Bearbeitet,Wilde Müllkippe 🧹,1402,"27.05.2025, 07:44",Ecke Brookweg Mittelweg. Müllentsorgung auf Gehweg,Lade Adresse ...,"53.1682469, 8.1914703","28.05.2025, 10:56: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 28.05.2025, 08:02: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 09:37: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1401,Kein Status,Wilde Müllkippe 🧹,1401,"27.05.2025, 07:41",Am Ende der Straße hinter der Brücke über der Bäke wurde Hausmüll entsorgt.,"Hugo-Eckener-Straße 10, 26127 Oldenburg","53.1700919, 8.1861136","28.05.2025, 10:45: Der Mangel wurde bearbeitet.; 27.05.2025, 09:36: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1399,Bearbeitet,Privates Grün an Straßen 🌲,1399,"27.05.2025, 00:11","Wenn man die Ofener Str. Richtung Westkreuz fährt und dann Tappenbeckstr. Und Tirpitzstr., da müssen die Hecken geschnitten werden! Die verdecken die Hälfte des Fußwegs.",Lade Adresse ...,"53.1412776, 8.2080892","27.05.2025, 09:42: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1398,Kein Status,Wilde Müllkippe 🧹,1398,"27.05.2025, 00:01","An dem Fahrradwwg der von der Haareneschstr. Zur Ofener Str.  Führt  liegt ein schwarzer Fahrradrahmen!
Ist somit Metallschrott zur Entsorgung....","Zeughausstraße 48, 26121 Oldenburg","53.1442179, 8.1988804","27.05.2025, 13:47: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1397,Kein Status,Wilde Müllkippe 🧹,1397,"26.05.2025, 23:51",An den Containern liegt Müll rum!,"Alexandersfeld 3b, 26127 Oldenburg","53.1816019, 8.1851191","28.05.2025, 14:52: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1395,Bearbeitet,Straßen  🚧,1395,"26.05.2025, 20:38",Vor dem Haus Nr 44  ist um den Kanaldeckel ( Fahrbahnmitte) der Straßenbelag tief herausgebrochen,"Am Festungsgraben 44, 26135 Oldenburg","53.1374158, 8.22106465","27.05.2025, 10:41: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 10:35: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1392,Kein Status,Wilde Müllkippe 🧹,1392,"26.05.2025, 17:30","Hallo, An der Bushaltestelle hat jemand mehrere Mülltüten mit Hausmüll abgestellt. Vielen Dank fürs Kümmern.","Friesenstraße 1, 26121 Oldenburg","53.15839035, 8.22073652415577","28.05.2025, 10:46: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt.; 27.05.2025, 14:00: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1390,Kein Status,Wilde Müllkippe 🧹,1390,"26.05.2025, 16:10","Auf dem kleinen Parkplatz der zum Kleingarte gehört wurde direkt an der Straße eine größere Menge Müll/Sperrgut abgeladen. Darunter ist auch E-Material wie z.B. 2 HW-Boiler. Ferner sieht es erneut aus, als ob jemand renoviert hat und all das, was nicht mehr gebraucht wurde hier hingeschmissen wurde. Gesehen schon vor 1 Woche und gefühlt wird es jeden Tag mehr.","Schellsteder Weg 99, 26125 Oldenburg","53.1715096, 8.24601169190502","02.06.2025, 07:02: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1388,Bearbeitet,Verkehrszeichen ⚠️,1388,"26.05.2025, 14:57",Das Vorfahrtszeichen im Kaspersweg vor der Einfahrt zum Kuckucksweg steht schräg nach hinten bzw. auch leicht zur Seite.,Lade Adresse ...,"53.1304852, 8.1601305","27.05.2025, 10:51: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 10:50: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1385,Bearbeitet,Straßen  🚧,1385,"26.05.2025, 12:43",Hoher Absatz in der Fahrbahn,"Tweelbäker Tredde, 26135 Oldenburg","53.1025429727886, 8.2683155976021","27.05.2025, 09:37: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 09:37: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1382,Kein Status,Wilde Müllkippe 🧹,1382,"26.05.2025, 10:01",Vor dem OOWV wurde auf dem Fußweg ein Koffer abgestellt!,"Kreyenstraße 41, 26127 Oldenburg","53.1667446, 8.2208632","26.05.2025, 14:41: Der Mangel wurde bearbeitet.; 26.05.2025, 14:41: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
