"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","block","M01","M02","M03","M04","M05","M06","M07","M08","P01","P01V","P01M","P01N","P01S","P02","P02V","P02M","P02N","P02S","P03","P03V","P03M","P03N","P03S","P04","P04V","P04M","P04N","P04S","P05","P05V","P05M","P05N","P05S","P06","P06V","P06M","P06N","P06S","P07","P07V","P07M","P07N","P07S","P08","P08V","P08M","P08N","P08S","K01","K02","K03","G00Q02[SQ001]","G00Q02[SQ002]","G00Q02[SQ003]","G00Q03[SQ001]","G00Q03[SQ002]","G00Q03[SQ003]","G00Q04[SQ001]","G00Q04[SQ002]","G00Q04[SQ003]","sex","age","educ","interviewtime","groupTime27792","blockTime","groupTime27793","M01Time","M02Time","M03Time","M04Time","M05Time","M06Time","M07Time","M08Time","groupTime27847","P01Time","P01VTime","P01MTime","P01NTime","P01STime","P02Time","P02VTime","P02MTime","P02NTime","P02STime","P03Time","P03VTime","P03MTime","P03NTime","P03STime","P04Time","P04VTime","P04MTime","P04NTime","P04STime","P05Time","P05VTime","P05MTime","P05NTime","P05STime","P06Time","P06VTime","P06MTime","P06NTime","P06STime","P07Time","P07VTime","P07MTime","P07NTime","P07STime","P08Time","P08VTime","P08MTime","P08NTime","P08STime","groupTime29373","K01Time","K02Time","K03Time","groupTime27791","G00Q02Time","G00Q03Time","G00Q04Time","groupTime29372","sexTime","ageTime","educTime"
"1","2025-07-05 14:43:13","6","de","352066507","2025-07-05 14:40:44","2025-07-05 14:43:13","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Öffentliche Mülleimer",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Müll am Straßenrand etwas anderes als Sperrmüll","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Männlich","29","Hochschulabschluss","144.99",,,,,,,,,,,,"95.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.89",,,,"10.76",,,,"10.16",,,
"2","2025-07-05 16:04:16","6","de","1428878115","2025-07-05 16:00:57","2025-07-05 16:04:16","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Männlich","26","Hochschulabschluss","194.8",,,,,,,,,,,,"135.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.01",,,,"18.21",,,,"19.19",,,
"3",,"2","de","1661822640","2025-07-05 19:01:52","2025-07-05 19:01:59","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","2025-07-05 19:07:06","6","de","1661822640","2025-07-05 19:01:55","2025-07-05 19:07:06","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Fahrradwege",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Manchmal undeutlich ob das jetzt Sperrmüll ist oder alt Container. Oder einfach falsche Multentsorgung. Limitation war ab und an tricky ","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","29","Hochschulabschluss","303.37",,,,,,,,,,,,"185.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.54",,,,"51.4",,,,"16.15",,,
"5","2025-07-05 19:43:57","6","de","619222703","2025-07-05 19:41:42","2025-07-05 19:43:57","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Ja","Unterschied zwischen Abfall und Wilder Müllkippe ist nicht eindeutig.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","26","Hochschulabschluss","130.95",,,"60.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.16",,,,"13.93",,,,"11.77",,,
"6",,"1","de","1529896770","2025-07-05 19:45:29","2025-07-05 19:45:29","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","2025-07-05 19:56:44","6","de","1400250103","2025-07-05 19:51:08","2025-07-05 19:56:44","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","26","Hochschulabschluss","335.76",,,"248.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.02",,,,"10.82",,,,"30.31",,,
"8","2025-07-05 19:55:41","6","de","875348071","2025-07-05 19:52:16","2025-07-05 19:55:41","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsicher","Ja","","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","26","Hochschulabschluss","204.73",,,"159.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.96",,,,"9.5",,,,"17.68",,,
"9",,"1","de","2121584446","2025-07-05 19:56:34","2025-07-05 19:56:34","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","2025-07-05 21:05:14","6","de","196517402","2025-07-05 21:03:04","2025-07-05 21:05:13","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Weiblich","29","Hochschulabschluss","130.46",,,"85.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.82",,,,"16.34",,,,"17",,,
